ID: 2020-03-06 17:09:24.948227	Date: 2020-03-06 17:09:24	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
22	35.0000	6.5000	0.8189	403441.7915
23	35.0000	7.4200	0.8334	422234.9346
24	35.0000	8.2400	0.8212	442661.4199
25	35.0000	9.3200	0.8301	463911.3283
26	35.0000	9.6000	0.8315	484169.2429
27	35.0000	10.6400	0.8299	503948.5445
28	35.0000	10.9800	0.8261	521889.8261
29	35.0000	12.4600	0.7967	542508.8694
30	35.0000	13.8200	0.7920	563549.4044
31	35.0000	14.5200	0.7689	584454.1214
32	35.0000	15.4200	0.7730	606880.1279
33	35.0000	17.0000	0.7455	624827.7659
34	35.0000	17.9400	0.7156	645248.9312
35	35.0000	18.2000	0.7106	665403.6148
36	35.0000	19.0000	0.6898	684692.1954
37	35.0000	20.0600	0.6746	706954.8416
38	35.0000	20.9600	0.6239	728150.7971
39	35.0000	21.7600	0.5990	749852.6039
40	35.0000	24.0000	0.5619	770540.9198
41	35.0000	25.4800	0.5500	793287.4506
42	35.0000	26.0400	0.5407	814154.9006
43	35.0000	27.5200	0.5212	836046.1924
44	36.0000	28.0400	0.5258	859107.8150
45	37.0000	28.3400	0.5286	879728.0893
46	37.0000	28.6600	0.5280	901967.4079
47	37.0000	28.7800	0.5338	925785.4099
48	37.0000	29.9200	0.5233	948304.9636
49	37.0000	30.2400	0.5283	970897.0106
50	37.0000	30.2800	0.5293	994069.1051
51	37.0000	30.5400	0.5243	1016620.0092
52	37.0000	30.8200	0.5232	1038415.6039
53	37.0000	31.0600	0.5221	1059258.7013
54	38.0000	31.7800	0.5074	1081964.8383
55	40.0000	32.0000	0.5098	1102682.8125
56	40.0000	32.2400	0.4930	1125503.8328
57	40.0000	32.4200	0.4894	1147646.1618
58	40.0000	32.4800	0.4921	1171430.8567
59	40.0000	32.8400	0.4898	1195746.8035
Pos: [838.3183022792045, 377.6229235822387, -3.579771320208577, 0.9324258789878581]

=================================================================================================================
