ID: 2020-03-06 17:09:24.948227	Date: 2020-03-06 17:09:24	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
8	27.0000	1.3800	0.9794	115273.5982
9	27.0000	1.4400	0.9603	128350.5328
10	27.0000	1.5800	0.9742	140943.6340
11	27.0000	1.8000	0.9373	155852.6371
12	28.0000	2.6000	0.9362	169821.6953
13	28.0000	2.6400	0.9466	181787.7510
14	28.0000	3.1800	0.9479	194184.5410
15	28.0000	3.2600	0.9493	209074.8849
16	30.0000	3.7600	0.9734	224678.4806
17	30.0000	3.7800	0.9692	241174.7627
18	30.0000	3.8000	0.9699	259172.5879
19	30.0000	3.9000	0.9507	277285.8808
20	30.0000	4.0800	0.9112	297215.9362
21	30.0000	4.2400	0.9062	317259.3873
22	30.0000	4.2600	0.9011	336943.3603
23	30.0000	4.3600	0.8752	356853.2512
24	30.0000	4.7800	0.8711	376693.9983
25	30.0000	5.1200	0.8634	399635.7486
26	30.0000	5.5400	0.8526	420559.6414
27	30.0000	6.9200	0.8623	440521.6296
28	30.0000	7.6200	0.8369	459931.3447
29	33.0000	8.6800	0.8337	481886.5902
30	33.0000	9.1000	0.8367	501938.2615
31	33.0000	9.4400	0.8230	522494.0240
32	33.0000	9.9000	0.8257	543944.9658
33	33.0000	11.4000	0.8123	564642.4711
34	33.0000	12.2400	0.7767	583001.0259
35	33.0000	12.8600	0.7673	605513.2523
36	33.0000	14.0600	0.7688	627958.3099
37	33.0000	15.1400	0.7319	649554.0996
38	35.0000	16.5800	0.7154	672272.7208
39	35.0000	17.4800	0.7046	694531.7914
40	35.0000	19.4400	0.6757	716438.4446
41	35.0000	20.7400	0.6537	737133.6458
42	36.0000	22.4400	0.6283	759426.6312
43	36.0000	23.2400	0.6173	780113.2011
44	36.0000	23.8200	0.6136	801780.9491
45	36.0000	24.7000	0.6119	822991.9357
46	36.0000	25.0200	0.5950	844586.4444
47	36.0000	26.0400	0.5756	867062.2258
48	36.0000	27.2200	0.5624	890196.2569
49	36.0000	28.3000	0.5378	911654.2847
50	36.0000	28.9800	0.5360	936042.2547
51	36.0000	29.5200	0.5317	960496.8104
52	38.0000	30.2800	0.5292	981960.5756
53	39.0000	30.9200	0.5147	1005576.6306
54	39.0000	31.3200	0.4944	1030564.5461
55	39.0000	31.6800	0.4966	1054561.1839
56	39.0000	32.2600	0.4976	1079156.2126
57	39.0000	32.7000	0.4829	1104665.4732
58	39.0000	33.0400	0.4735	1128606.7753
59	39.0000	33.1400	0.4759	1154643.5888
Pos: [910.3924117135768, 365.02872685462506, -2.258470309280685, 0.8265060599649462]

Run: 3
Iter	Gbest	AvrFit	Diver	ETime	
0	1.0000	0.1200	1.0000	31142.5385
1	2.0000	0.2200	1.0000	44292.2764
2	2.0000	0.2400	0.9631	55296.7331
3	8.0000	0.4600	0.9624	68187.3655
4	8.0000	0.5400	0.9674	81494.4556
5	11.0000	0.9000	0.9452	94343.4577
6	24.0000	1.3200	0.8993	110168.8693
7	24.0000	1.7600	0.8889	126506.7692
8	24.0000	2.4400	0.8602	143988.8303
9	24.0000	2.7200	0.8558	159403.5757
10	24.0000	3.8600	0.8377	175518.4224
11	24.0000	4.6800	0.8954	189490.7727
12	24.0000	4.9600	0.8706	206022.6960
13	39.0000	5.7200	0.8500	222627.8720
14	39.0000	6.5600	0.8396	240741.7910
15	39.0000	7.4800	0.8175	256912.1468
16	39.0000	7.7000	0.8062	278495.7550
17	39.0000	9.5000	0.7616	301571.0602
18	39.0000	11.5000	0.7750	324050.1227
19	39.0000	12.8400	0.7320	345630.9545
20	39.0000	14.5000	0.6806	362665.1647
21	39.0000	16.1200	0.6678	383289.1271
22	39.0000	17.6400	0.6365	405909.5738
23	42.0000	20.0600	0.6157	428643.8413
